Country,Longitude,Latitude,Group,Order,Count
Afghanistan,60.52705383,33.84199142,2,213,1
Afghanistan,60.48574448,34.09477615,2,214,1
Afghanistan,60.57021332,34.2196312,2,215,1
Afghanistan,60.64267349,34.30717468,2,216,1
Afghanistan,60.8894577,34.3194313,2,217,1
Afghanistan,60.8039093,34.41801834,2,218,1
Afghanistan,60.76259995,34.47524261,2,219,1
Afghanistan,60.73613358,34.49179459,2,220,1
Afghanistan,60.72626877,34.51826477,2,221,1
Afghanistan,60.73945236,34.54472733,2,222,1
Afghanistan,60.80234528,34.55463791,2,223,1
Afghanistan,60.84531403,34.58769608,2,224,1
Afghanistan,60.91474915,34.63398361,2,225,1
Afghanistan,60.95117569,34.65385437,2,226,1
Afghanistan,60.95781326,34.71006012,2,227,1
Afghanistan,60.99082184,34.74975586,2,228,1
Afghanistan,61.04043198,34.799366,2,229,1
Afghanistan,61.08007813,34.85561752,2,230,1
Afghanistan,61.07021713,34.92173004,2,231,1
Afghanistan,61.10664368,35.00112152,2,232,1
Afghanistan,61.12314606,35.05073166,2,233,1
Afghanistan,61.14961243,35.09375,2,234,1
Afghanistan,61.12646484,35.15654373,2,235,1
Afghanistan,61.10664368,35.20947266,2,236,1
Afghanistan,61.09999847,35.27231216,2,237,1
Afghanistan,61.13964462,35.28886414,2,238,1
Afghanistan,61.18926239,35.31201172,2,239,1
Afghanistan,61.19921875,35.36162186,2,240,1
Afghanistan,61.22568512,35.42446136,2,241,1
Afghanistan,61.24550629,35.4740715,2,242,1
Afghanistan,61.27851868,35.51377106,2,243,1
Afghanistan,61.28183746,35.55342102,2,244,1
Afghanistan,61.26200867,35.61957932,2,245,1
Afghanistan,61.34473038,35.6294899,2,246,1
Afghanistan,61.37773132,35.59311676,2,247,1
Afghanistan,61.42177963,35.54579926,2,248,1
Afghanistan,61.54277039,35.45786285,2,249,1
Afghanistan,61.62099838,35.43232346,2,250,1
Afghanistan,61.71972656,35.41943359,2,251,1
Afghanistan,61.84101868,35.43149185,2,252,1
Afghanistan,61.93808746,35.44789886,2,253,1
Afghanistan,61.9838829,35.4437027,2,254,1
Afghanistan,62.0896492,35.37968826,2,255,1
Afghanistan,62.21308517,35.28993988,2,256,1
Afghanistan,62.25283051,35.25024414,2,257,1
Afghanistan,62.27119064,35.1891098,2,258,1
Afghanistan,62.30781174,35.17079926,2,259,1
Afghanistan,62.38661957,35.23125076,2,260,1
Afghanistan,62.46289444,35.25136948,2,261,1
