Actor,Partner,Count
Adam Carolla,Judd Apatow,1
Adam Carolla,Oswaldo Castillo,1
Adam Carolla,Will Arnett,1
Adam Clayton,Bono,1
Adam Clayton,Larry Mullen Jr.,1
Adam Clayton,The Edge,1
Adam Driver,Greta Gerwig,1
Adam Driver,Jane Fonda,1
Adam Driver,Jason Bateman,1
Adam Driver,Michael Esper,1
Adam Driver,Mickey Sumner,1
Adam Driver,Tina Fey,1
Adam G. Sevani,Alyson Stoner,1
Adam G. Sevani,Briana Evigan,2
Adam G. Sevani,Cassie Ventura,1
Adam G. Sevani,Misha Gabriel Hamilton,1
Adam G. Sevani,Rick Malambri,1
Adam G. Sevani,Robert Hoffman,1
Adam G. Sevani,Ryan Guzman,1
Adam G. Sevani,Sharni Vinson,1
Adam Garcia,Alison Pill,1
Adam Garcia,Brittany Murphy,1
Adam Garcia,Drew Barrymore,1
Adam Garcia,Glenne Headly,1
Adam Garcia,John Goodman,1
Adam Garcia,Lindsay Lohan,1
Adam Garcia,Maria Bello,1
Adam Garcia,Piper Perabo,1
Adam Garcia,Steve Zahn,1
Adam Goldberg,Eion Bailey,1
Adam Goldberg,Lucy Punch,1
Adam Goldberg,Luis Guzm?n,1
Adam Goldberg,Marley Shelton,1
Adam Goldberg,Val Kilmer,1
Adam Goldberg,Vincent D'Onofrio,1
Adam Herschman,Bernie Mac,1
Adam Herschman,Columbus Short,1
Adam Herschman,Jonah Hill,1
Adam Herschman,Justin Long,1
Adam Herschman,Samuel L. Jackson,1
Adam Herschman,Sharon Leal,1
Adam Hicks,Austin Rogers,1
Adam Hicks,Greg Germann,1
Adam Hicks,Hallie Kate Eisenberg,1
Adam Hicks,Lauren Holly,1
Adam Hicks,Luke Benward,1
Adam Hicks,Perry Anzilotti,1
Adam Horovitz,Ben Stiller,1
Adam Horovitz,Maria Dizzia,1
Adam Horovitz,Naomi Watts,1
Adam Lamberg,Hallie Todd,1
Adam Lamberg,Hilary Duff,1
Adam Lamberg,Robert Carradine,1
Adam LeFevre,Kym Whitley,1
Adam LeFevre,Martin Lawrence,1
Adam LeFevre,Raven-Symon?,1
Adam Marcello,Casey Hooper,1
Adam Marcello,Katy Perry,1
Adam Marcello,Patrick Matera,1
Adam Pascal,Anthony Rapp,1
Adam Pascal,Chris Stack,1
Adam Pascal,Jack Black,1
Adam Pascal,Jesse L. Martin,1
Adam Pascal,Lucas Papaelias,1
Adam Pascal,Rosario Dawson,1
Adam Rodriguez,Brian White,1
Adam Rodriguez,Taraji P. Henson,1
Adam Rodriguez,Tyler Perry,1
Adam Rothenberg,Diane Keaton,1
Adam Rothenberg,Katie Holmes,1
Adam Rothenberg,Ted Danson,1
Adam Sandler,Al Pacino,1
Adam Sandler,Allen Covert,1
Adam Sandler,Andy Samberg,2
Adam Sandler,Austin Stout,1
Adam Sandler,Burt Reynolds,1
Adam Sandler,Chris Rock,3
Adam Sandler,Christopher Walken,1
Adam Sandler,Cloris Leachman,1
Adam Sandler,Dan Aykroyd,1
Adam Sandler,David Hasselhoff,1
Adam Sandler,David Spade,2
Adam Sandler,Don Cheadle,1
Adam Sandler,Don McManus,1
Adam Sandler,Drew Barrymore,2
Adam Sandler,Elodie Tougne,1
Adam Sandler,Emily Watson,1
Adam Sandler,Emmanuelle Chriqui,1
Adam Sandler,Eric Bana,1
Adam Sandler,Guy Pearce,1
Adam Sandler,Harvey Keitel,1
Adam Sandler,Jack Nicholson,1
Adam Sandler,Jackie Sandler,1
Adam Sandler,Jada Pinkett Smith,1
Adam Sandler,Jason Andrews,1
Adam Sandler,Jennifer Aniston,1
Adam Sandler,Jessica Biel,1
Adam Sandler,John Turturro,2
Adam Sandler,Kate Beckinsale,1
Adam Sandler,Katie Holmes,1
Adam Sandler,Keri Russell,1
Adam Sandler,Kevin James,4
Adam Sandler,Kevin Nealon,2
Adam Sandler,Leighton Meester,1
Adam Sandler,Leslie Mann,1
Adam Sandler,Liv Tyler,1
Adam Sandler,Luis Guzm?n,1
Adam Sandler,Marisa Tomei,1
Adam Sandler,Nelly,1
Adam Sandler,Nick Swardson,2
Adam Sandler,Nicole Kidman,1
Adam Sandler,Patricia Arquette,1
Adam Sandler,Paz Vega,1
Adam Sandler,Rhys Ifans,1
Adam Sandler,Rob Schneider,1
Adam Sandler,Russell Brand,1
Adam Sandler,Sean Astin,1
Adam Sandler,Selena Gomez,1
Adam Sandler,Seth Rogen,1
Adam Sandler,T?a Leoni,1
Adam Sandler,Terry Crews,1
Adam Sandler,Vanilla Ice,1
Adam Sandler,Winona Ryder,1
Adam Scott,Amy Adams,1
Adam Scott,Amy Poehler,1
Adam Scott,Catherine O'Hara,1
Adam Scott,Chris O'Dowd,1
Adam Scott,Clark Duke,1
Adam Scott,Craig Robinson,1
Adam Scott,Elizabeth Banks,1
Adam Scott,Ellen Burstyn,1
Adam Scott,Jennifer Westfeldt,1
Adam Scott,John Lithgow,1
Adam Scott,Kate Beahan,1
Adam Scott,Kyle Field,1
Adam Scott,Martin Landau,1
Adam Scott,Matthew Goode,1
Adam Scott,Maya Rudolph,1
Adam Scott,Peter O'Brien,1
Adam Scott,R.J. Hermes,1
Adam Scott,Richard Jenkins,1
Adam Scott,Rob Corddry,1
Adam Scott,Sarah Michelle Gellar,1
Adam Scott,Taylor Schilling,1
Adam Trese,Elizabeth Olsen,1
Adam Trese,Eric Sheffer Stevens,1
Adam Trese,Julia Taylor Ross,1
Adam Wingard,Calvin Reeder,1
Adam Wingard,Kentucker Audley,1
Adam Wingard,Lane Hughes,1
Adam Wood,Mark Alpiger,1
Adam Wood,Steve Wiebe,1
Adam Wood,Walter Day,1
Adamina Kerr,Frank Qutuq Irelan,1
Adamina Kerr,Josiah Patkotak,1
Adamina Kerr,Teddy Kyle Smith,1
Addison Timlin,Clive Owen,1
Addison Timlin,Jess Weixler,1
Addison Timlin,Justin Long,1
Addison Timlin,Melissa George,1
Addison Timlin,Tyler Labine,1
Addison Timlin,Vincent Cassel,1
Adelaide Clemens,Carrie-Anne Moss,1
Adelaide Clemens,Derek Magyar,1
Adelaide Clemens,Kit Harington,1
Adelaide Clemens,Lee Tergesen,1
Adelaide Clemens,Luke Evans,1
Adelaide Clemens,Sean Bean,1
Adelaide Kane,Ethan Hawke,1
Adelaide Kane,Lena Headey,1
Adelaide Kane,Max Burkholder,1
Adeola Ariyo,Caryn Peterson,1
Adeola Ariyo,Christine Tomlinson,1
Adeola Ariyo,Emma Cleasby,1
Adepero Oduye,Aasha Davis,1
Adepero Oduye,Charles Parnell,1
Adepero Oduye,Pernell Walker,1
Adetokumboh M'Cormack,Andrew Cheney,1
Adetokumboh M'Cormack,John Rhys-Davies,1
Adetokumboh M'Cormack,Kara Killmer,1
